88,Asian-Pacific Islander,18,Male,Control Script,"1,18,6,4,8,13,23,7,20,22,15,24,16,5,11,27","27,15,22,4,18,11,13,20,","24,5,16,1,6,8,7,23,",2024-03-30 16:05:38.143,yes,7,no
89,Asian-Pacific Islander,20,Male,Control Script,"16,8,2,12,7,11,1,3,24,14,5,22,18,6,13,26","14,22,5,7,13,26,18,16,","3,24,6,8,2,12,11,1,",2024-03-30 16:07:50.557,yes,7,no
90,Asian-Pacific Islander,18,Male,Control Script,"17,13,5,6,2,27,16,4,3,20,1,18,26,25,24,11","13,5,25,3,18,20,2,26,","24,11,1,4,16,27,6,17,",2024-03-30 16:32:08.933,no,10,no
91,White,21,Male,Control Script,"17,22,5,25,27,23,14,12,21,20,18,15,3,24,2,6","6,25,15,22,24,12,14,2,","3,20,18,17,5,27,23,21,",2024-03-30 19:34:31.007,yes,8,no
92,Asian-Pacific Islander,19,Male,NULL,NULL,NULL,NULL,2024-03-30 20:07:04.340,yes,6,NULL
93,Asian-Pacific Islander,21,Male,Experimental Script,"23,22,5,11,17,21,15,16,18,13,12,26,25,8,24,6","25,15,5,18,12,8,6,11,","24,26,13,16,21,17,22,23,",2024-03-31 17:33:24.613,yes,8,yes
94,Asian-Pacific Islander,19,Male,Control Script,"12,21,5,26,11,27,3,20,24,6,16,14,7,1,25,2","12,21,5,26,11,27,3,20,","24,6,16,14,7,1,25,2,",2024-03-31 17:52:00.473,yes,8,no
95,Asian-Pacific Islander,1,Male,NULL,NULL,NULL,NULL,2024-03-31 17:59:44.093,yes,NULL,NULL
96,Asian-Pacific Islander,1,Male,NULL,NULL,NULL,NULL,2024-03-31 17:59:44.313,yes,10,NULL
97,Asian-Pacific Islander,19,Male,Control Script,"18,13,26,15,22,23,17,3,4,20,6,24,7,14,25,8","18,13,23,8,20,3,24,6,","14,25,7,4,22,26,17,15,",2024-03-31 22:09:05.467,yes,6,no
98,White,20,Male,Control Script,"1,14,27,4,24,5,16,18,12,11,20,25,15,17,23,3","14,23,5,3,15,27,16,12,","1,4,18,17,25,20,11,24,",2024-04-01 16:10:27.400,yes,8,no
99,Other,19,Male,Experimental Script,"13,3,23,2,5,11,21,1,6,27,7,22,25,24,12,14","7,27,3,22,13,1,24,5,","14,25,12,2,23,11,21,6,",2024-04-01 16:13:11.980,yes,9,no
100,African-American,30,Male,NULL,NULL,NULL,NULL,2024-04-01 16:21:20.620,yes,9,NULL
101,Asian-Pacific Islander,19,Male,NULL,NULL,NULL,NULL,2024-04-01 16:25:39.523,yes,NULL,NULL
102,African-American,30,Male,NULL,NULL,NULL,NULL,2024-04-01 16:33:06.840,yes,9,NULL
103,Asian-Pacific Islander,43,Female,Experimental Script,"12,24,16,14,7,5,8,25,23,22,17,4,27,6,21,18","18,12,6,7,5,8,16,23,","17,14,21,27,25,4,24,22,",2024-04-01 16:34:59.220,yes,8,no
104,Asian-Pacific Islander,47,Female,Experimental Script,"27,13,18,12,11,4,7,24,6,8,3,26,20,17,25,1","8,3,24,1,25,27,13,6,","26,17,18,12,11,4,7,20,",2024-04-01 16:47:08.003,yes,4,no
105,White,42,Female,NULL,NULL,NULL,NULL,2024-04-01 16:50:17.823,no,7,NULL
106,Asian-Pacific Islander,50,Male,Experimental Script,"13,1,14,7,18,20,23,22,15,5,3,21,26,4,8,24","20,1,14,15,21,3,26,24,","13,7,18,22,4,8,5,23,",2024-04-01 16:57:18.640,yes,8,no
107,Asian-Pacific Islander,19,Male,NULL,NULL,NULL,NULL,2024-04-01 16:58:33.450,yes,8,NULL
108,African-American,20,Male,Control Script,"13,6,15,1,7,18,3,12,16,17,11,2,26,20,5,22","26,6,12,22,15,13,18,7,","1,17,20,5,11,2,16,3,",2024-04-01 17:01:51.647,yes,10,yes
109,Asian-Pacific Islander,54,Male,NULL,NULL,NULL,NULL,2024-04-01 17:03:21.523,yes,9,NULL
110,White,19,Male,Experimental Script,"24,20,27,15,23,25,16,26,4,21,7,22,18,3,8,6","6,22,18,16,20,3,4,25,","21,8,24,27,15,23,26,7,",2024-04-01 17:05:44.630,yes,9,no
111,Asian-Pacific Islander,18,Male,NULL,NULL,NULL,NULL,2024-04-01 17:09:48.440,yes,8,NULL
112,Asian-Pacific Islander,20,Male,Experimental Script,"7,17,11,1,8,22,21,2,27,13,24,14,20,4,18,16","4,18,24,22,1,2,16,27,","20,14,11,21,13,8,17,7,",2024-04-01 17:13:53.380,yes,8,no
113,White,20,Male,NULL,NULL,NULL,NULL,2024-04-01 17:14:18.847,yes,8,NULL
114,Asian-Pacific Islander,18,Male,Experimental Script,"17,18,5,27,13,11,20,16,2,6,12,24,22,1,8,7","27,6,20,18,5,22,24,16,","17,13,11,2,12,1,8,7,",2024-04-01 17:14:35.260,yes,7,no
115,Asian-Pacific Islander,21,Female,Control Script,"2,20,7,21,5,13,26,27,25,18,4,23,12,15,6,14","7,23,15,2,6,4,20,25,","12,18,27,26,14,5,13,21,",2024-04-01 17:15:51.380,yes,7,no
116,Other,20,Male,Control Script,"27,1,17,23,5,4,24,15,12,21,13,6,3,11,26,8","8,11,13,12,15,17,1,27,","26,3,23,5,4,24,21,6,",2024-04-01 17:16:18.180,yes,7,no
117,African-American,23,Male,Control Script,"1,21,2,22,17,20,25,14,24,4,23,13,12,15,3,11","25,12,13,4,22,20,15,1,","11,3,23,21,14,24,17,2,",2024-04-01 17:16:19.800,yes,7,no
118,Other,45,Female,NULL,NULL,NULL,NULL,2024-04-01 17:18:40.870,yes,9,NULL
119,Asian-Pacific Islander,21,Male,NULL,NULL,NULL,NULL,2024-04-01 17:20:59.053,yes,10,NULL
120,Asian-Pacific Islander,41,Male,NULL,NULL,NULL,NULL,2024-04-01 17:24:52.973,no,4,NULL
121,White,20,Female,Experimental Script,"25,7,4,3,20,26,5,22,14,24,15,23,12,1,18,21","18,12,22,15,3,7,20,25,","26,14,21,24,23,1,5,4,",2024-04-01 17:29:34.943,yes,8,no
122,White,20,Male,Experimental Script,"18,2,17,21,14,11,4,20,12,3,26,6,22,23,1,24","14,3,12,17,6,4,18,24,","1,23,2,21,11,20,22,26,",2024-04-01 17:31:47.507,yes,8,no
123,Asian-Pacific Islander,18,Female,NULL,NULL,NULL,NULL,2024-04-01 17:45:26.220,yes,8,NULL
124,Asian-Pacific Islander,18,Male,Experimental Script,"20,1,2,27,12,23,16,14,3,22,15,18,26,6,25,24","15,14,25,6,1,12,2,20,","18,24,26,27,23,16,3,22,",2024-04-01 17:54:28.800,yes,9,no
125,Asian-Pacific Islander,42,Female,Control Script,"11,7,4,20,27,5,3,26,13,12,24,18,14,22,15,2","2,26,12,22,7,27,20,15,","11,4,5,3,14,18,24,13,",2024-04-01 17:58:59.760,yes,9,no
126,Asian-Pacific Islander,20,Female,NULL,NULL,NULL,NULL,2024-04-01 18:09:58.993,yes,8,NULL
127,Other,21,Male,Experimental Script,"14,26,17,3,13,24,22,2,20,12,18,15,7,8,23,6","12,6,15,3,20,26,13,14,","24,23,18,2,22,8,7,17,",2024-04-01 18:14:22.833,yes,9,no
128,Asian-Pacific Islander,48,Female,NULL,NULL,NULL,NULL,2024-04-01 18:23:03.643,no,6,NULL
129,Asian-Pacific Islander,40,Female,Control Script,"23,18,25,7,17,13,16,12,5,2,1,4,21,22,3,6","22,3,7,16,1,18,6,17,","21,12,2,25,23,13,4,5,",2024-04-01 18:24:10.680,yes,8,yes
130,Latinx,22,Male,NULL,NULL,NULL,NULL,2024-04-01 18:31:08.913,yes,5,NULL
131,Asian-Pacific Islander,22,Male,Control Script,"18,3,11,5,21,15,12,14,7,20,24,25,1,27,22,17","21,20,22,3,14,27,25,1,","17,24,18,11,5,15,12,7,",2024-04-01 18:44:05.450,yes,7,no
132,White,19,Male,NULL,NULL,NULL,NULL,2024-04-01 18:57:42.653,yes,10,NULL
133,African-American,21,Female,NULL,NULL,NULL,NULL,2024-04-01 19:14:01.653,yes,7,NULL
